text,username,location,len
"@GordonGChang @TheresaAFallon @POTUS #coronavirus China gave its backing to an investigation into the origins of the coronavirus but insisted on it being carried out by the World Health Organisation, setting up a clash with the United States, which has lost patience with the body? ¥ Bribery!!!! https://t.co/6sPqKk2XH8",NishTracey,"51.819496,-0.808337",319
RT @msnuk: France sees flare-up of 70 new coronavirus cases after schools reopen https://t.co/091RbRGvXZ,KelendriaBDC3,United Kingdom,104
"Our Spring Job Fair is now being held online because of coronavirus but there are still lots of great roles available in Tameside.

To attend the Virtual Job Fair head to the link below where you can find lots of new vacancies 👇

https://t.co/xDfVK4mhxW https://t.co/vZs9hC2Sqd",TamesideCouncil,"Ashton-under-Lyne, England",277
New lows in Humanity in Bharat circa 2020 https://t.co/k4ybxj040P,dsouza_paul,India,65
AP PHOTOS: Medical students get a first-hand look at medical history being made as they help out a Greek hospital designated as a key coronavirus treatment center. https://t.co/eF9LjYhXbf,AP_Europe,Europe,187
"We did see a aircraft show already. Didn't we? 
#Modi #FrontLineHeroes #healthcare #Doctors #COVID19India #Covid_19 #coronavirus https://t.co/OC5aY6njH3",palash2291,New Delhi,152
"RT @Morning_Joe: How coronavirus impacted one healthy, young runner: https://t.co/W7HH8CEwOm --@MaraGay",EsotericMike,The lost wilds of the mind,103
"turned out negative. Now I don't know what type of test they did but CDC here says there are two types of test. 1) viral test - current, 2) antibody test - if you had previously.
https://t.co/uvQsgkVkLk

I'm using this study for the SK protocol-ish https://t.co/CPuAMK4ASs",perfdanik,Where Wanna One Go,272
"@Ben57825351 @SavantIdiom @batleyell @Nadjdaniela A simple Google brings up plenty of articles but here you go...
https://t.co/10Vd6F4tYs",shotinthedark19,"England, United Kingdom",137
RT @PeckhamVision: BBC News - Coronavirus: Muslims urged to avoid communal Eid celebrations https://t.co/nEfhr03NgU,justspace7,"London, England",115
"Our online CPD accredited course ‘Environmental cleaning during the COVID-19 outbreak’ has been receiving five star reviews. Have you taken it yet? 
https://t.co/UG2qtv5oYn
#coronavirus #Covid_19 #coronavirusuk #Covid19UK https://t.co/xeVPcH8kKz",schulkeUK,"Sheffield, England",245
Dr. Francis Boyle Says #Coronavirus is Biological Warfare Weapon https://t.co/Txr7rzvfUM #BiologicalWarfare #BiologicalWeapons #Covid19 #CrimesAgainstHumanity #DrFrancisBoyle #FortDetrick #HumanRights #Video #Wuhan https://t.co/N7cQxOOdv2,FortRussNews,Los Angeles - Belgrade - CDMX ,238
"New guidelines for employers on #workingsafely during #coronavirus cover 8 workplace settings.

Employers may need to use more than one set of guidance to cover different locations.

See the government guidance here: https://t.co/WTUsHXyXYq https://t.co/XF6SRPtSPX",southeastlep,South East,264
"RT @fayedsouza: Really well put by @arundhatikatju . A must read 

https://t.co/ZLgRqJuSbC",GuideOfRoku,India,90
"Tokyo Olympics officials are incensed that their games emblem has been used in the cover design of a local magazine that combines the logo with the novel coronavirus.
https://t.co/b6dJHFSGKC",HareshDeol,"Kuala Lumpur, Malaysia",190
RT @Kerryactivism: Texas Supreme Court blocks plan to allow mail-in ballots amid coronavirus https://t.co/khTjvitAqC via @nypost,__DJWilson,"Florida, USA",128
RT @SportsCenter: Khabib Nurmagomedov says his father is in critical condition with the coronavirus. https://t.co/UwG6FDtGfx,JensenThaWriter,Philadelphia,124
"Once again The #UKGovernment will refuse to take advantage and learn from other countries. They have been negligent as it is, but this... this cannot happen here now. How can our young children adhere to #SocialDistancing ? It’s too soon! 

https://t.co/a9NsmB5gJi",Harry_M_H,"Cardiff, Wales",264
RT @nigella_i5e: EU crumbling: Italexit fears a George Soros admits Italy could follow UK out of bloc..... https://t.co/gZZqabw0Im,StuR8,London,130
"Was weird hearing Patel going on about how “it’s been four years since the British public voting for independence from the European Union” - Brexit is so passé, we have the coronavirus now",agirlcalledlina,"Islington, London",188
RT @Jordan9ja: #Jib : Experts Predict U.S #Coronavirus Outbreak Could Be Over By July: https://t.co/wnNpZjFrU1,Jordan9ja,Earth. ,110
"@Officialneha @Officialneha They didn't know what kind of circumstances that can lead this to #coronavirus #ZeroSocialDistancing #PoorManagement #WorseSituation #SpreadAwareness 

Things can be handled in better way if certain measures are taken preplanned.",vishalnickvishu,"Shamsherpur, PaontaSahib, H.P.",257
RT @PatC63316307: France sees 70 coronavirus cases linked to schools days after reopening https://t.co/2Z2aVKl0Lx,DowninJamaica,UK North East,113
'I'm just glad we're able to do something for them': Capital High School seniors honored as the Class of COVID-19 https://t.co/F3Cr1K1cJ6,KTVB,"Boise, ID",137
"Russia reports 9,263 new cases of coronavirus and 115 new deaths over the past 24 hours, raising the total to 299,941 cases and 2,837 dead. There are 7,352,316 patients tested in the country so far.",CoronaTurkeyEN,Worldwide,198
"RT @Nux_Taku: I hope Coronavirus pulls a ""No Game No Life"" and never gets a sequel",HafizHasfarizal,imagiNATION,82
RT @Pun_Starr: I think BJP leaders should most beware of Zee News journalists. Coronavirus can be transferred through boot licking.,paisadouble21,"New Delhi, India",131
RT @liltxhurricane4: Coronavirus aid for undocumented immigrants in California kicks off on May 18 https://t.co/FTRdHr9aOa via @nbcnews,harjitrathore,United States,135
Antibody that inhibits the new coronavirus discovered in patient who had SARS 17 years ago https://t.co/OD56ugBYbP,techworld_news,India,114
RT @JoyceWhiteVance: Follow the money https://t.co/inYdnUGOt2,AndyMcD51129214,France,61
Powerful testimony - Dr Jane Goodall on Coronavirus_ We Brought This on Ourselves https://t.co/USLayKbDdS #extinctionrebellion #climatechange #wetmarkets #bushmeat,Englishabc,"Oxford, United Kingdom",163
The UK Government Coronavirus briefing lineup should Level 5 ever be reached. https://t.co/A9RfwKZsgZ,UNARMOUREDworld,Worcestershire,101
@jack_sommers @lorraine Total selflessness and very courageous sir...I applaud you 👏 #coronavirus #vaccine #Covid_19 #Thankyou #Hope,ChrisJMarsden,"England, United Kingdom",132
"RT @JohnWest_JAWS: Unbelievable 

https://t.co/VShsxseeQy",Krys2549,Lytham St Annes,57
Health and care worker COVID-19 testing available across mid and south Essex. For more information please visit: https://t.co/PWNPt1eYq8  #COVID19 #Coronavirus https://t.co/aMWnpvlmTH,MidEssexCCG,"Chelmsford, Essex",183
Important news for small and medium-sized businesses in Lincolnshire here. https://t.co/SbcLOxdN1f,LincsLive,"Lincoln, Lincolnshire",98
Why people think #5G responsible for #coronavirus https://t.co/jloVJuO0G0 via @YouTube,Nerdstudiosja1,"SAN JOSE, CA",86
RT @voiceoftheEast: Five Fresh Cases Of Coronavirus Confirmed In Abia State https://t.co/U6DS4gubmw https://t.co/YWEPJkpZZZ,thisisabiastate,Abia State,123
"NEW: The Government issues an updated response to a Parliamentary petition to say they “cannot safely include” a BSL interpreter in the room for their daily coronavirus briefings “without potentially putting them and others at risk”. #WhereIsTheInterpreter
https://t.co/eC3zbS6vJ7",LiamODellUK,Bedfordshire,280
"RT @nousha_mohd: Zee News: Noida's most deadly coronavirus hotspot.@ZeeNews 

#ZeeNewsSealKaro https://t.co/jzi3RbqIQy",AboobakarSaheed,"Mangalore, India",118
@DrHilaryJones If people who receive the vaccine are not exposed to Coronavirus how do we know how well it works &amp; whether the vaccine makes the symptoms worse..? Thank you,Janebcd,Central London UK ,176
"#Uber to cut 3,000 more jobs as #coronavirus crisis rises 

#layoffs #Jobs #lockdown #COVID19 

https://t.co/2tX3WUZxSo",ANN_Newsable,"Bengaluru, India",119
"Cannabis extracts may help to prevent coronavirus, study suggests https://t.co/8kCRJXEIez #CannabisNews #Cannabis",RichardsonNigel,United Kingdom,113
"During these uncertain times, many of us will be worried about how we manage our rent 🏠 

We are here to help you
Talk to us 💬

The following organisations have guidance on how Coronavirus may affect income &amp; benefits ⬇️

🟡 @DWP 
🟠 @CitizensAdvice 
🟢 @YourMoneyAdvice https://t.co/VRhGlbZT4n",CynonTafHousing,"Navigation Park, Abercynon",295
The Government has issued an update on the symptoms of coronavirus - see below. https://t.co/TkkWJgwP1q,lakescollege,"Lillyhall, Workington",103
RT @Partisangirl: Just realise that outside of the US #Hydroxycloroquine is not a controversial drug. https://t.co/mYg3Y3Hw9E,BeingGrateful5,United States,125
RT @Peston: Why didn't the government protect us earlier from coronavirus? https://t.co/RslSSTYnvp,DogLady2020,UnderStairs Cupboard,98
"@lisamurkowski Imagine the difference if Trump Republicans spent as much time on coronavirus as they do Obama, Clinton, and China “conspiracies”. And to top it off, they call the coronavirus a hoax and the “conspiracies” all real. Trump Republicans can fool some once, but now it’s your life! https://t.co/roOG3rmTrR",KevinScott4all,United States,316
Aged-care homes locked down as Australia reaches grim milestone with 100th death | The New Daily https://t.co/BRg9bv0MW3,RichForrest2,Mornington Peninsula Melbourne,120
"An incredibly inspiring video showing all the efforts that goes into saving lives, pushing boundaries and persisting in spite of all challenges. The great sense of mission and fortitude that is required and drives all of us! #inspiration #Covid_19 #coronavirus #PrecisionMedicine https://t.co/w8coAogWS4",lifebitAI,"London, England",303
"19 new confirmed cases of #COVID19 in the yet-to-be-named firm in Ibadan

Now, this is serious.

My Ibadan people, make una continue to stay safe

#coronavirus",SolihuF1,"Ibeju-Lekki, Nigeria",159
@MobilePunch This is what he has been preaching to his congregation. One of the member in my area that attends the church has been going around telling people about how 5G and not Coronavirus is responsible for what the world is currently battling at this point.,RBenitez85,"Lagos,Nigeria.",262
https://t.co/DG3hrNNIXF - UK unemployment surges to 1.35 million – expert expects very quick rise to over 10%,carlaalfredo01,London UK,109
"@hezedgodson @RKRadhakrishn @kv_ramanan @ramyakannan yep, as if they had a telepathy with #coronavirus. d dumbo who said #TamilNadu wud be corona free in 3days n its d disease of d rich is d CM. we stand helpless. we’ve a great duty ahead, we cant simply sit n watch. we #millennials shd form a political movement aiming for CM chair",imthiyasnmajeed,"Basel City, Switzerland",333
RT @washingtonpost: Opinion: Trump is using the coronavirus as a cover to abuse his authority https://t.co/BM331nIelg,2witterbird,Auckland NEW ZEALAND,117
RT @Peston: Why didn't the government protect us earlier from coronavirus? https://t.co/RslSSTYnvp,nilskrone,"Birmingham, England",98
RT @Independent: France sees 70 coronavirus cases linked to schools days after reopening https://t.co/7IjRBagAZw,SlXTIMES,"Liverpool, England",112
